CountryName,Suma elementów TotalDeaths,Średnia magnituda
Afghanistan,6370,4.77746815286624
Albania,51,4.757731958762887
Algeria,2285,4.800793650793652
Argentina,0,4.790521281683406
Armenia,,4.888888888888889
Australia,,4.89243296272073
Austria,,5.0249999999999995
Azerbaijan,31,4.84888888888889
Bangladesh,23,4.812499999999999
Barbados,0,4.836413043478261
Belgium,,4.8
Bhutan,12,5.02
Bolivia,,4.816444444444444
Bosnia and Herzegovina,1,4.783333333333333
Botswana,,4.883333333333334
Brazil,1,4.871584258324923
Bulgaria,0,4.671428571428572
Burundi,3,4.716666666666667
CĂ´te d'Ivoire,,4.8
Cameroon,,4.6
Canada,,4.930844827586202
Central African Republic,,4.6
Chile,613,4.871831442463553
China,92576,4.799258160237388
Colombia,14,4.762923976608186
Comoros,0,4.866666666666666
Costa Rica,43,4.820095693779907
Croatia,9,4.766666666666667
Cuba,0,4.9625
Cyprus,,4.885714285714286
Czechia,,4.6
Dem. People's Rep. Korea,,4.783333333333334
Dem. Rep. of the Congo,20,4.8119658119658135
Djibouti,,4.78108108108108
Dominican Republic,3,4.738832116788322
Ecuador,688,4.862430555555552
Egypt,0,4.7631578947368425
El Salvador,1161,4.791866666666667
Eritrea,,4.794
Ethiopia,3,4.720138888888889
Fiji,,4.841142533936649
France,0,4.7333333333333325
Gabon,,4.822222222222221
Georgia,6,4.895652173913044
Germany,0,4.66
Greece,11,4.782710576314121
Guatemala,76,4.8259900990099025
Guinea,,4.72
Haiti,225164,4.864423076923075
Honduras,7,4.866917293233082
Hungary,0,4.65
Iceland,0,4.7390449438202245
India,37928,4.814187010594202
International Waters,44,4.824901924839588
Iran,28598,4.811893988364573
Iraq,10,4.7558823529411764
Israel,,4.6
Italy,684,4.821457489878542
Jamaica,,5.03529411764706
Japan,20738,4.806676855643341
Jordan,,4.5
Kazakhstan,3,4.748717948717949
Kenya,1,4.754545454545454
Kuwait,,4.65
Kyrgyzstan,74,4.73954372623574
Lao PDR,0,4.8
Lebanon,,5.1
Libya,,4.750000000000001
Madagascar,,4.8377464788732425
Malawi,4,4.857446808510638
Malaysia,104,4.9624999999999995
Maldives,102,4.798851435705367
Malta,,4.864285714285714
Mexico,524,4.892352515381825
Micronesia (Fed. States of),,4.821059602649005
Mongolia,,4.8070312500000005
Montenegro,,4.811111111111111
Morocco,3574,4.786021505376346
Mozambique,4,4.721621621621622
Namibia,,4.886666666666666
Nepal,9137,4.857477477477476
New Caledonia,,4.877087214225232
New Zealand,184,4.815292462311551
Nicaragua,9,4.782630272952853
Nigeria,,4.5
North Macedonia,0,4.807142857142857
Norway,,4.791275167785237
Oman,,4.812903225806451
Pakistan,74447,4.8189821182943575
Palau,,4.904761904761905
Panama,2,4.9056661562021455
Papua New Guinea,209,4.8517200374531875
Peru,770,4.842322490381245
Poland,,4.66086956521739
Portugal,,4.7971971496437
Republic of Indonesia,180909,4.8217717658242885
Republic of Korea,0,4.846666666666667
Republic of the Philippines,580,4.7925034474113195
Republic of the Union of Myanmar,4007,4.787034035656403
Romania,,4.792753623188407
Russian Federation,18,4.83201080948287
Rwanda,81,4.784375
Samoa,148,4.95056179775281
Saudi Arabia,,4.724489795918367
Senegal,,4.5
Serbia,2,4.9
Slovakia,,5
Slovenia,1,4.766666666666667
Solomon Islands,62,4.873712374581933
Somalia,298,4.738297872340425
South Africa,3,4.850000000000006
Spain,10,4.71025641025641
Sri Lanka,35399,4.830303030303029
State of Palestine,,4.8
Sudan,,4.636363636363637
Sweden,,4.6
Switzerland,,4.5
Syria,5670,4.68125
Taiwan,233,4.841598360655734
Tajikistan,27,4.7374193548387105
Tanzania,32,4.80568720379147
Thailand,8401,4.8839999999999995
Timor-Leste,0,4.764470443349752
Tonga,9,4.821169824048556
Trinidad and Tobago,,4.921739130434783
Tunisia,,4.764705882352942
Turkey,54126,4.848792270531401
Turkmenistan,11,4.7844444444444445
Uganda,4,4.744067796610169
Ukraine,,4.7
United Arab Emirates,,4.8
United Kingdom,0,4.716666666666668
United States of America,6,4.908093413173667
Uzbekistan,13,4.748275862068965
Vanuatu,14,4.866732561877206
Venezuela,0,4.781294964028777
Viet Nam,,4.723333333333332
Yemen,,4.828311258278147
Zambia,,4.751515151515151
Zimbabwe,,4.812820512820513
